Title,Ingredients
Ayam Woku,Ekor Ayam Kampung (potong ) Buah Jeruk Nipis Garam Ruas Kunyit Bawang Merah Bawang Putih Cabe Merah Cabe Rawit Merah (sesuai selera) Butir Kemiri Batang Sereh Lembar Daun Salam Ikat Daun Kemangi Penyedap Rasa 
Ayam goreng tulang lunak,ayam (dipotong sesuai selera jangan kecilya) batang serai (memarkan) lembar daun jeruk butir bawang putih (haluskan) ketumbar (haluskan) ruas jari Laos (haluskan) ruas jari kunyit (haluskan) butir kemiri (haluskan) secukupnya Garam Secukupnya Air (tuk ukep ayam) Secukupnya Minyak goreng 
Ayam cabai kawin,ayam buah cabai hijau besar buah cabai merah rawit siung bawang putih siung bawang merah secukupnya Gula secukupnya Garam buah tomat merah secukupnya Air secukupnya Minyak goreng 
Ayam Geprek,"daging ayam (saya pakai fillet) Secukupnya gula dan garam tepung ayam serbaguna Secukupnya lalapan (kemangi,kol,timun) Secukupnya minyak panas sambal korek Secukupnya cabe rawit merah dan bwg putih "
Minyak Ayam,"kulit ayam lemaknya siung bawang putih kating, cincang kasar ruas jahe, geprek minyak goreng ketumbar bubuk "
Nasi Bakar Ayam,"piring nasi ¹/⁴ fillet ayam, potong kotak, cuci bersih Daun pisang yang sudah dibersihkan Lidi/tusuk gigi untuk mengapit daun daun salam serai, memarkan ikat daun kemangi, opsional cabe merah besar, iris tipis kecap manis Minyak untuk menumis cabe merah besar cabe kecil siung bawang merah siung bawang putih kemiri kunyit ¹/² ruas jahe ¹/⁴ tomat gula pasir blok kaldu ayam (aku biasa pake maggy) pake royco, masako Merica (dikiraz takar nya, aku sdkit z sih) "
Ayam Saus Hintalu Jaruk,"Ekor ayam Butir Hintalu Jaruk Buah Cabe merah Buah Cabe hijau Tepung terigu bks Merica bubuk Siung Bawang putih Buah jeruk nipis secukupnya Minyak goreng untuk menumis dan menggoreng secukupnya Gula, garam dan penyedap rasa "
Ayam saus teriyaki Lada Hitam,Ayam bagian dada dan tulang buah bawang bombay siung bawang daun siung bawang putih buah cabe merah besar buah cabe ijo besar secukupnya Air Mentega untuk menumis bungkus saus teriyaki (sdm) gula pasir bungkus royco ayam Larutan meizena 
Steak ayam,dada ayam fillet air jeruk nipis secukupnya garam adonan basah terigu maizena merica garam secukupnya air adonan kering terigu maizena merica bubuk kaldu jamur secukupnya garam secukupnya minyak goreng bahan saus jamur jamur tiram blender bawang putih cincang halus keju parut maizena cairkan dgn air saus tiram kecap manis merica halus secukupnya garam kaldu jamur bahan pelengkap buncis dan wortel di kukus 
Ayam saus Asam Manis,Ayam bagian dada fillet (Potong dadu) Secukupnya air jeruk nipis utk baluran Bungkus tepung bumbu ayam instan uk besar campur sedikit tepung terigu Siung b.putih (iris tipis) Siung b.merah (Iris tipis) Buah b.bombay (Iris tipis) Buah tomat uk besar (Haluskan) saus sambal saus tiram Secukupnya Gula garam Secukupnya merica bubuk 
Mie Ayam,tepung terigu proteiin tinggi butir telur sendok minyak goreng Secukupnyaa garam secukupnya Air Minyak goreng Dada ayam (potong kotakjngn terlalu besar) siung bawang merah siung bawang putih buah kemiri secukupnya Lada Secukupnya ketumbar Jahe Lengkuas lembar sereh lembar daun jeruk lembar daun salam Kecap Gula merah Minyak untuk menumis Daun bawang Sawi hijau Bawang goreng (me gak pakai lupa) buah cabai rawit merah Garam (agar tidak cepat bau asam) Air untuk merebus 
Ayam Bakar Pedas Manis,Ekor Ayam Broiler Ukuran Jumbo Siung Bawang Merah Buah Cabe (Optional) Ruas Jahe Ruas Kunyit Secukupnya Lada Bubuk Secukupnya Ketumbar Lembar Daun Jeruk Lembar Daun Salam Batang Serai Siung Bawah Putih Secukupnya Kecap Secukupnya Gula Merah Secukupnya Minyak Goreng Secukupnya Royco Secukupnya Garam Bungkus Santan Kara 
Semur Ayam Kentang,"Ekor ayam Kentang Bawang putih - bisa di sesuaikan sesuaikan Bawang merah Merica Kemiri Sedikit biji Pala Cabai Merah kriting, bila suka pedas Sedikit jahe Daun salam Lengkuas Sereh Kapulaga Kulit manis Irisan bawang bombay Irisan tomat Garam Kecap manis Sedikit penyedap rasa Jeruk nipis untuk ayam "
Ayam suwir,gram Ayam suwir (sudah direbus/Goreng) siung bawang merah siung bawang putih buah tomat merica terasi buah cabe rawit buah cabe kriting Secukupnya gula Secukupnya garam Secukupnya air Secukupnya penyedap rasa (Royco) lembar daun salam jari Lengkuas geprek 
Ayam goreng tepung,fillet ayam tepung bumbu serbaguna butir telur ayam (kocok lepas) Garam sck Minya goreng secukupnya untuk menggoreng 
Tulang Ayam Pedas Manis,tulang ayam bersihkan lalu potong cabe merah keriting cabe rawit (tambah jika suka pedas) butir bawang merah butir bawang putih ruas kunyit daun salam daun jeruk btg sereh geprek ruas jahe geprek btr jeruk nipis secukupnya kaldu bubuk secukupnya gula pasir secukupnya kecap manis air untuk merebus tulang minyak untuk menumis 
Ayam penyet rumahan,"ekr ayam negri cuci bersih ptng beri air jeruk nipis cuci lagi buah jeruk nipis Bumbu ayam goreng jd,yg bsah. bisa beli di pasar,aku beli rb lmbr daun salam lmbr daun jeruk btng sere geprek Garam secukupnya dan penyedap secukupnya Minyak goreng buah cabe rawit merah buah cabe merah siung bawang p kating buah bawang merah goreng sebentr Penyedap dan sedikit gula "
Sop ayam,ayam potong kecil kecil ceker ayam bersihkan kentang iris wortel iris mangkok makaroni (rebus) batang daun bawang (sesuai selera) batang daun seledri (sesuai selera) siung bawang merah siung bawang putih sendok teh lada halus secukupnya Garam Penyedap rasa (bila Sun's saya pake gula aja) 
Ayam suwir,grm dada ayam lembar daun jeruk siung bawang putih siung bawang merah jahe kunyit secukupnya Garam dan gula Minyak untuk menumis 
Ayam Koloke,"ayam fillet, potong-potong tepung bumbu serbaguna (larutkan dgn air) tepung terigu maizena Bahan Saus butter / margarin siung bawang putih, cincang halus siung bawang bombai uk. Kecil (iris halus) wortel (potong korek api) timun (buang biji dan iris korek api) btg daun bawang (potong) cabe merah (iris serong) cabe rawit (iris serong) saus tomat saus tiram minyak wijen air lemon / jeruk nipis / cuka masak Garam, lada, gula maizena (larutlan dgn air) "
Mie tulang ayam,tulang ayam bungkus kecil mie burung dara siung bawang putih siung bawang merah cabe rawit tangkai daun bawang tangkai seledri merica bubuk saus cabe kecap manis secukupnya Gula dan garam Minyak untuk menumis 
Ayam Suir Bali (bemesere bali),dada ayam (rebus dahulu) minyak goreng cabai merah buah tomat buah Cabe rawit secukupnya Garam secukupnya Gula jawa terasi bakar perasan jeruk limo buah daun jeruk purut 
Pindang ayam jadul,ayam btr bawang merah iris halus buah cabe rawit iris halus jahe iris halus lengkuas iris halus kunyit halus asam jawa terasi bangka panggang tomat potong Secukupnya daun kemangi (me:gak ada) 
Ayam Kacang Panjang saus Hoisin,"Bahan Daging lembar paha atas/dada ayam kecap asin, arak beras, tapioka Bahan saus ikat Kacang panjang siung baput cincang halus jahe cincang halus saus hoisin kecap asin .micin Larutan tapioka "
Tongseng ayam,"g daging ayam (potong) santan dr butir kelapa (pisahkan bagian yg kental) lembar daun jeruk lembar daun salam ruas lengkuas (geprek) batang serai (geprek) buah cabe rawit hijau batang daun bawang (potong serong) buah tomat (potong) kecap manis buah kentang ukuran sedang (potong) Secukupnya kol (iristebal) Secukupnya garam,kaldu bubuk, gula pasir (sesuai selera masing) Bawang goreng untuk taburan Secukupnya minyak untuk menumis Bumbu halus ; siung bawang merah siung bawang putih ruas jahe ruas kunyit ketumbar merica butir kemiri sangrai buah cabai merah besar "
Ayam penyet sambal kemangi,dada ayam ikat daun kemangi buah timun uk sedang bungkus bumbu racik tempe bahan sambal buah cabe merah buah cabe rawit siung bamer siung baput gula garam buah tomat merah secukupnya terasi secukupnya minyak utk menggoreng air utk mengungkep ayam 
Ayam goreng pedas gila,ayam bungkus tepung bumbu uk g yg pedas (aku pke sajiku) Secukupnya air es Minyak goreng 
ayam Teriyaki,"Daging ayam iris memanjang Bawang bombay, iris memanjang Gula Garan Minyak untuk menumis Saus teriyaki Saus tiram Kecap manis Minyak wijen siung bawang putih, haluskan Jahe, haluskan Merica Kaldu bubuk "
ayam kecap Jeruk Limao,"ayam potong daun salam ruas jahe geprek daun jeruk, buang tulangnya buah jeruk limao Secukupnya air perasn jeruk nipis Secukupnya garam, merica, gula pasir, kaldu bubuk Secukupnya kecap manis siung bawang Bombay, iris Bumbu Halus siung bawang putih siung bawang merah buah cabe keriting merah buah cabe rawit merah "
Ayam Kecap Rumahan,ayam Bawang Putih Bawang Merah sesuai selera Cabe rawit dan cabe merah besar Jahe secukupnya Lada dan Pala Lengkuas se jempol kaki biji Kemiri 
Sop Ayam Garang Asam,ayam serai jahe cabe rawit merah bawang putih bawang merah tomat hijau jeruk nipis (boleh lebih) daun jeruk secukupnya daun bawang secukupnya garam secukupnya penyedap secukupnya air matang 
Ayam goreng krutuk,tepung terigu Air matang ayam (yg sudah direbus sebelumnya) Garam Gula/penyedap Lada bubuk butir telur ayam Minyak goreng 
Ayam panggang saus kecap,"Bumbu ayam panggang ; ayam potong sesuai selera siung bawang merah,ulek halus siung bawang putih,ulek halus Sedikit kunyit,dan garam,ulek halus Untuk olesan ayam ; Kecap manis,saus tomat,sedikit minyak,dicampur saus kecap/cocolan ; sesuai selera Kecap manis siung bawang merah,iris melintang agak tebal siung bawang putih,ulek halus buah cabe rawit,ulek halus buah tomat potong sesuai selera Jeruk nipis (skip) Arang untuk memanggang ayam "
Soto ayam kuah santan,"ayam (diungkep dulu,lalu digoreng) bungkus santan kara kunyit jahe secukupnya Lada secukupnya Daun salam,lengkuas,daun jeruk dan sereh siung bawang merah siung bawang putih gula,garam royko ayam iris Tomat Daun bawang dan seledri Bihun (rebus dulu) Bawang goreng Kol di potong tipis Tahu goreng Kerupuk Bawang goreng Jeruk nipis Sambal (cabe rawit,bawang putih/merah di rebus dulu, diulek) "
Ayam Goreng Bumbu Kuning,potong ayam Secukupnya air Secukupnya minyak goreng Bumbu Halus siung bawang putih ruas jari kunyit ruas jari jahe ketumbar Secukupnya garam 
Mie Geprek (Mie ayam geprek),bungkus mie burung dara ons dada ayam tepung terigu kubis bawang putih kecap royco sapi secukupnya garam ebi minyak wijen saus tiram lada bubuk minyak goreng cabe rawit bawang merah 
Seblak Mie Tulang Ayam,bungkus mie burung dara tulang ayam sisa filet (jadi masih ada dagingny) Sawi hijau Sawi putih Garam Gula siung bawang merah siung bawang putih buah cabe keritinh buah cabe rawit (sesuai selera) ruas jari kencur 
Sweet Buffalo ayam,Paha ayam (potong) Secukupnya Garam Lada hitam bubuk Paprika bubuk Tepung terigu Margarin unsalted Bawang putih bubuk Gula merah bubuk Saus tomat Saus sambal secukupnya Garam Secukupnya Wijen 
Ayam Garang Asem,ekor ayam Secukupnya daun pisang santan kara kecil jeruk nipis bumbu rajang cabai rawit cabai merah tomat hijau kecil bawang merah bawanh putih tambahan ruas laos ruas jahe daun jeruk daun salam batang serai garam gulpas air minyak goreng 
Ayam Geprek,Fillet dada ayam khas dalam Tepung bumbu kriuk buah rawit merah buah cabai merah keriting siung bawang putih secukupnya garam secukupnya kaldu jamur 
Ayam Asam Manis Rumahan citarasa Resto,"Bahan gram dada ayam, potong dadu buah paprika merah/hijau Sedikit nanas, potong dadu bawang bombay siung bawang putih, geprek minyak bawang utk menumis Air dan tepung sagu,saus tomat saus sambal saus lea perrins gula pasir kaldu ayam secukupnya garam kecap Inggris minyak wijen maggie seasoning saus raja rasa gula pasir garam kaldu ayam merica "
Ayam goreng tepung,gram ayam dada potong siung bawang putih haluskan lada bubuk secukupnya Kaldu bubuk secukupnya Garam butir telur gram tepung terigu gram tepung meizena 
Sop Balungan Ayam,"Tulang dari ekor ayam jowo, rebus dg api kecil siung bawang putih merica bubuk pala bubuk cengkeh garam (sesuaikan dg penggunaan air) kaldu jamur gula buah wortel, iris tipis kentang ukuran kecil, potong dadu bonggol sawi sendok Secukupnya seledri dan daun bawang bawang merah goreng "
Ayam goreng lepas tulang lembut,"ayam bawang putih ruas laos ruas jahe Daun salam, serai ruas, daun jeruk, "
Sayap Goreng Bumbu Ngo Hiang,sayap ayam bagian drum stick air jeruk nipis / lemon garam bumbu ngo hiang tetes suclarose/stevia drop (boleh skip) 
Semur ayam kampung,ayam kampung siung bawang putih siung bawang merah butir kemiri ruas jahe lembar daun jeruk lembar daun salam batang serai (digeprek) Lengkuas kunyit bubuk ketumbar bubuk merica bubuk garam gula pasir Sedikit royco Secukupnya kecap manis Secukupnya air kaldu ayam kampung Secukupnya minyak goreng 
Ayam Tepung,potong ayam (paha atas atau paha bawah) air lemon Secukupnya black papper Secukupnya garam tepung terigu serba guna tepung maizena oregano garam masako ayam bubuk cabai tepung terigu bubuk cabai garam Secukupnya lada putih Air es 
Soto Ayam Surabaya,Ekor Ayam Siung Bawang Merah Siung Bawang Putih Secukupnya Ketumbar Secukupnya Lada Ruas Kunyit Ruas Lengkuas Ruas Jahe Butir Kemiri Daun Salam Daun Jeruk Gula Garam Penyedap Rasa (boleh pakai boleh tidak) Daun Bawang Kol Tauge Kentang Telur Rebus Sambal Rebus 
Ayam Suwir / Ayam Sisit,gram fillet ayam tanpa kulit minyak wijen kecap ikan saus tiram unsalted butter untuk menumis Bumbu yang dihaluskan siung bawang merah siung bawang putih ruas jari kencur ruas jari kunyit buah rawit merah atau sesuai selera udang rebon garam 
Risoles rogut ayam,"buah kentang, kukus dan tumbuk halus buah wortel, diserut kasar dada ayam rebus, suwir halus tepung terigu secukupnya Lada bubuk Secukupnya garam susu cair siung bawang putih, haluskan gram keju cheddar parut minyak goreng gram tepung terigu margarine, dicairkan butir telur Secukupnya garam secukupnya Air gram tepung panir untuk membalur "
Ayam masak kicap,potong ayam buah bawang bombay buah cabai keriting merah buah cabai rawit buah cabai lalap buah tomato kecap saus sambal saus tiram kunyit bubuk garam kaldu bubuk totole (skip boleh/ ganti kaldu bubul lain) 
Ayam tepung,ayam gram tepung terigu secukupnya Royco siung bawang putih sendok teh lada bubuk ruas jahe ruas kunyit secukupnya Garam Minyak goreng butir telur ayam ambil putih nya aja 
Ayam goreng bakar kecap,ayam Secukupnya minyak untuk menggoreng bawang putih kunyit (dikira-kira aja ya) lengkuas ketumbar merica Secukupnya garam dan kaldu bubuk kecap mentega bawang merah bawang putih cabe hijau besar cabe rawit tomat hijau Secukupnya garam dan gula 
Somay ayam bumbu kacang,dada ayam Kulit lumpia instan terigu kanji siung bawang putih merica bubuk sachet royco Bumbu kacang kacang gula merah royco gula pasir secukupnya Cabe Larutan maizena Kecap Pelengkap ; Gubis Telur puyuh Tahu putih 
Ayam Kecap Cabe Ijo,"ekor ayam potong, bersihkan Cabe ijo buah, potong serong Bawang bombay siung, potong Bawang putih siung, cincang garam Gula pasir Lada bubuk kaldu bubuk (aku pake royco) Kecap manis (aku pake bango) siung bawang merah siung bawang putih kunyit jahe lengkuas, geprek batang serai,ketumbar buah kemiri daun jeruk Garam "
Ayam Masak Kluwek,"kluwek ayam paha sayap ayam buah kemiri buah cabe merah (opsional) siung bawang merah siung bawang putih jahe keping asam kering bubuk kunyit Garam, Gula, Penyedap Rasa secukupnya Air "
Ayam Goreng Telur,potong Paha Ayam (aku: ayam. Potong_potong) siung Bawang Putih lembar Daun Jeruk lembar Daun Salam batang Serai sendok teh Garam sendok teh Ketumbar Bubuk Kunyit butir Telur Ayam 
