Title,Ingredients
Gurame Saus Padang,ekor gurame siung bawang putih (cincang halus) siung bawang merah (cincang halus) cabai merah (giling) banyaknya cabai sesuai selera ya buah cabai rawit iris tipis (sesuai selera) bawang bombang iris Saus tiram Saus tomat Garam Gula Lada wortel iris tipis memanjang (opsional) buah tomat potong dadu (opsional) batang irisan daun bawang ruas jahe ukuran kecil iris tipis Tepung maizena air Tepung beras Tepung terigu Garam Jeruk nipis/ lemon Minyak sayur 
Ikan Kembung Bakar Teflon,"ikan kembung sate, bersihkan buah jeruk sate/jeruk kunci garam halus lada bubuk ketumbar bubuk "
Mujaer asam pedas manis,ikan mujaer (stok gurame habis) buah Wortel potong korek api siung bawang bombai siung bawang putih cabai rawit siung bawang merah sendok makan Saos tomat sendok makan Saos tiram Garam Merica air matang Jahe Jeruk nipis 
Gurame Asam manis,"ikan gurame buah wortel (potong seperti batang korek api) Bumbu siung bawang merah siung bawang purih tomat Cabe besar (selera brp j) Cage kecil (selera brp j) sacet Saos sambel Saos tomat (q pakek Saos botolan) Bahan tambahan Tepung maezena Kunir Garam, gula, merica ladaku "
Asam padeh ikan tuna,ikan tuna siung bawang merah siung bawang putih ruas kemiri batang serai ruas kunyit ruas laos lembar daun jeruk lembar daun kunyit buah asam Kandis buah belimbing hulu buah cabai merah (bisa disesuaikan) buah cabai rawit (bisa disesuaikan) sendok garam sendok gula 
Avocado Tuna Salad,kaleng Tuna Chunks butir telur rebus buah kentang rebus buah avocado buah bawang merah biji zaitun buah timun Sebongkol daun salada/lettuce secukupnya Garam & merica 
Lele Asam Manis,Lele Segar air kecap manis margarine/minyak saus tiram (optional) siung bawang merah siung bawang putih cabe merah (bisa lebih sesuai selera) buah kemiri garam (sesuai selera) penyedap rasa (sesuai selera) gula pasir (sesuai selera) 
Pempek kulit ikan tenggiri,kulit ikan tenggiri halu air matang garam Penyedap/ kaldu jamur merica gula santan kental siung bawang putih siung bawang merah sagu tani terigu sagu untuk balur 
Tumis Tongkol Petai,bungkus tongkol cabe gendot papan petai cabe rawit cabe merah b. Merah b. Putih lembar daun salam Secukupnya garam Secukupnya gula putih 
Ikan Patin pedas manis,ikan patin siung bawang merah iris tipis siung bawang putih iris tipis bawang bombay ukuran kecil iris tipis Cabai merah keriting (sesuai selera) iris tipis Cabai rawit setan (sesuai selera) biarkan utuh ruas lengkuas digeprek lembar daun jeruk sendok makan kecap batang bawang daun iris tipis 
Gurame tahu tauco,ekor gurame buah tahu kotak buah jeruk nipis buah bawang bombay siung bawang putih jari jahe buah cabe hijau besar buang biji buah cabe merah besar tauco Kecap asin Kecap manis Saos tiram Minyak wijen Angciu 
Ikan Patin,"potong Ikan patin buah Jeruk nipis buah Tomat uk. sedang buah Cabai hijau keriting (boleh lebih) buah Cabai rawit/ cengek (boleh lebih) batang serai (geprek) ruas Lengkuas (geprek) Bumbu-bumbu dihaluskan siung Bawang merah siung Bawang putih buah Kemiri Kunyit bubuk buah Cabai merah besar Jika hoby pedas, tambahkan cabai sesuai selera masing-masing "
Gulai Ikan Kakap Merah khas Padang,"ekor Ikan Kakap merah ukuran agak besar, potong papan Tempe siung Bawang merah siung Bawang putih Jahe Kunyit Cabe giling halus Daun kunyit Daun jeruk btg Sereh Daun salam Asam kandis Daun ruku ruku segenggam (bisa diganti daun kemangi) butir Rawit merah Santan kara Air "
Gurame crispy asam manis ala amih fatih,ekor ikan gurame fillet buah jeruk nipis lada bubuk garam siung bawang putih pack tepung serbaguna pedas buah telur kocok lepas buah bawang bombay iris buah bawang putih iris buah wortel potong sesuai selera saus tiram saus tomat saus sambal secukupnya Gula secukupnya Garam secukupnya Lada secukupnya Air 
Balado Tongkol & Tahu,buah ikan tongkol sedang (iris menjadi Bagian) buah tahu ukuran lecil lembar daun jeruk secukupnya Gula & garam buah bawang merah buah bawang putih Cabe Merah cabe rawit buah tomat buah Gula merah ukuran sedang 
Balado Ikan Sarden,ekor ikan sarden Jeruk nipis secukupnya Garam Bumbu balado buah Cabe keriting siung bawang merah buah tomat secukupnya Garam gula penyedap rasa 
