Title,Ingredients
.Sate Kambing,Bahan-bahan :--Daging kambing--Daun pepaya--Bumbu yang dihaluskan :--siung bamer--siung baput--jahe--ketumbar--lada bubuk--Garam--air asam jawa--Bahan sambel kecap :--Kecap manis sesuai selera (aku pake bango)--Cabe rawit--Bamer--Tomat--Jeruk limau--
Rabeg Kambing,daging kambing bagian paha beserta tulang--Bumbu halus--cabe--siung bawang putih--siung bawang mersh--butir kemiri--jahe--ruas kunyit--klabet--jinten--Bumbu lain--batang sereh--lembar daun salam--kayu manis--butir cengjeh--kapulaga hijau--kecap manis--Garam--Gula--Pelengkap--Acar--Bawang goreng--
Gulai kambing,"gram daging kambing--sesuai selera Santan--btng serai,memarkan--lembar Daun Salam,jeruk--sesuai selera Cabe--btr Cengkeh--siung bawng merah--siung bwng putih--butir kemiri--kunyit--jahe--lengkuas--ketumbar--Mrica,pala,garam,gula seckpnya--"
Sayur tulang kambing,1.tulang sumsum kambing(direbus dahulu)agar bau amis hilang--Kacang panjang--Pepaya muda--buah Cabe rawit--buah Cabe merah besar--buah Cabe hijau besar--bawang putih--bawang merah--miri--Garam--bungkus masako--sendok makan Gula putih--Minyak goreng--Irisan potongan bawang merah siung--Irisan potongan bawang putih siung--Santan kelapa--
Sate Kambing,garam daging kambing--buah jeruk nipis--secukupnya kecap manis--bumbu kacang:--gram kacang tanah goreng--siung bawang merah--siung bawang putih--buah cabe merah besar--buah cabe rawit merah (sesuai selera)--butir kemiri--lembar daun jeruk--air--kecap manis--gula merah iris--secukupnya garam--bahan tambahan :--acar wortel timun bawang cabe rawit--bawang goreng--
Sop Kaki Kambing,"kaki kambing--2-buah kentang, potpng dadu besar--3-batang daun bawang, iris cm--2-L air panas--2-minyak utk menumis--buah bawang merah--buah bawang putih--garam--lada bubuk--pala bubuk--Bumbu lainnya:--buah cengkeh--buah kapulaga india--batang kayu manis--buah star anise--lembar salam koja (bay leaves)--"
Kari kambing ala bundo,"Daging kambing ½ kg, potong-potong, lumuri dengan sedikit bumbu halus dan biarkan menit--siung bawang merah, iris halus--buah tomat, potong tipis--butir cengkeh--buah peka--buah kapulaga--siung bawang putih, iris halus--santan dari butir kelapa (1,bungkus segitiga santan kemasan)--susu cair--air--ruas jari kayu manis--lembar daun jeruk purut buang tulangnya--lembar daun kari-- Garam dan gula sedikit hanya untuk menambah rasa--secukupnya Minyak goreng--sendok teh jinten, sangrai--sendok teh adas, sangrai--siung bawang merah--buah cabai merah--buah cabai rawit merah--siung bawang putih--sendok makan ketumbar, sangrai--2,cm/ ruas jari  jahe--cm/ ruas jari  kunyit (diameter kecil)--2,cm/ ruas jari  lengkuas--"
Tongseng kambing presto,gram iga kambing / daging kambing--gram kol--siung bawang merah--siung bawang putih--ruas kunyit bakar--buah kemiri sangrai--ketumbar sangrai--jinten--buah cabe merah besar--ruas jahe--bumbu tambahan:--lembar daun jeruk--batang sereh--ruas lengkuas--batang daun bawang--buah tomat--buah cabe rawit merah--santan kara--secukupnya gula garam--
Telor dadar otak kambing,Otak kambing--butir telor ayam--Penyedap masako--siung Bawang merah--siung Bawang putih--Daun bawang secukupnnya--Cabe rawit biji adanya--Garam--lembar Daun salam--Jahe kunyit seujung jari kelingking dikit aja--Minyak untuk numis--
Sate kambing siram sambal bawang kecap,"Bumbu daging--daging kambing--1,ketumbar--bungkus royko--gula--1,bawang putih bubuk(siung bawang putih)--minyak goreng--secukupnya Garam--secukupnya Kecap--Untuk kuah--siung bawang merah--buah cabe rawit--secukupnya Kecap--"
Gule kambing pedas #keto,iga kambing--daging kambing dengan lemak--Bumbu halus--Jahe--siung bawang putih--siung Bawang merah--garan--kunyit (bakar)--butir cengkeh (sangrai)--buah pekak/kembang secang/star anis (sangrai)--butir kapulaga--sachet stevia (kalo suka)--st lada bubuk--kemiri (sangrai/goreng)--cabe merah keriting--cabe rawit setan (kalo suka)--Bahan tambahan--2-lembar daun jeruk--lembar daun kunyit (ikat)--batang serai--2-daun salam--air Asam kandis--liter santan cair (sachet kara yg 65ml)--liter santan kental (1.sachet kara 65ml)--liter Air--secukupnya Minyak goreng--
Sate Kambing Maranggi,"daging kambing potong agak besar karena daging mudah empuk--Secukupnya tusukan sate--Secukupnya kecap manis--nanas uk kecil atau nanas uk sedang--Bumbu dihaluskan :--bawang putih--bawang merah--ketumbar--gula merah--garam--Bahan sambal kecap :--bawang merah, potongkecil--cabe rawit, potong kecil--tomat merah besar, potong kotak kecil--jeruk sambal--Secukupnya kecap manis--"
Soto babat kambing madura,"Jeroan kambing babat,usus campur--Bumbu halus ;--Bawang putih--Bawang merah--Merica--Bumbu yg di iris ;--Jahe--Lengkuas--Kunyit--Daun jeruk--Daun salam dan sereh sy gak pake karna lg kehabisan stok--Bahan pelengkap ;--Soun--Toge--Bawang daun dan seledri--Bawang putih dan merah goreng--Garam dan royco sapi--Sambel uleg--Jeruk nipis--"
Oseng-oseng tulang kambing pedas,kilo tulang kambing yang sudah di potong kecil--siung bawang putih--siung bawang merah--cendok teh lada putih--buah cabe rawit atau sesuai selera--Minyak goreng--Kecap manis--Garam--
Tongseng kambing,daging kambing muda--buah kubis--bungkus santan kara ukuran kecil (65ml)--air panas--Bumbu merebus daging:--lembar daun salam--secukupnya Air--siung bawang merah--siung bawang putih--buah cabe merah--buah cabe rawit (sesuai selera)--mrica--ketumbar--buah kemiri--ruas jari jahe--ruas jari kunyit--Bumbu lainnya :--ruas jari lengkuas--batang sereh (memarkan)--lembar daun salam--lembar daun jeruk--secukupnya Garam--Kecap manis--sedikit Gula--minyak goreng untuk menumis--lada bubuk (sebagai kolerasi rasa)--Bumbu pelengkap:--siung bawang merah (iris tipis goreng)--buah cabe rawit (potong2)--buah tomat (potong menyisir)--
Gulai Kambing,"daging kambing, potong ukurannya sesuai selera--secukupnya Air untuk merebus pertama--Air untuk rebusan kedua--santan kental--minyak untuk menumis--Bumbu- bumbu--butir bawang merah--butir bawang putih--butir kemiri--ketumbar--jinten--merica--ruas jahe--cabe giling--batang serai keprek--ruas lengkuas--kayu manis--lembar daun salam--lembar daun jeruk--buah cengkeh--buah kapulaga--buah cabe merah iris--buah tomat belah 4--secukupnya Bawang daun dipotong--garam--secukupnya Bumbu penyedap--"
Oseng kambing kecap asam manis simple,"daging kambing,potong sesuai selera--siung bawang merah--siung bawang putih--Secukupnya kecap manis--Secukupnya gula merah--Secukupnya garam--Secukupnya asam kanji--Secukupnya cabe rawit (jika suka)--"
Tongseng Kambing,daging kambing campur tulang--Secukupnya minyak untuk menumis--liter air--santan--lbr daun jeruk--lbr daun salam--buah serai memarkan--bungkus bumbu gulai siap pakai--Secukupnya kecap manis--Haluskan :--ketumbar sangrai--siung bawang merah--siung bawang putih--garam--Secukupnya merica butiran--Pelengkap:--Daun bawang--Kol--Tomat--Bawang merah goreng--
Tongseng Kambing Enak,"daging kambing--Daun salam--lengkuas--batang serai--bungkus Kara santan, encerkan dengan 700ml air--Bumbu Halus;--siung bawah merah--siung bawang putih--ruas kunyit, dibakar--kemiri, sangrai--ketumbar--lada--jahe--Bumbu tumis ;--siung bawang merah, iris--siung bawang putih, geprek--buah cabe rawit merah, iris (tergantung selera pedasnya)--Kecap (sesuai selera manisnya)--tomat hijau/ tomat merah--Garam--"
Balado kentang dan ati kambing,Ati kambing--buah kentang--Sambal balado--cabe merah--cabe rawit--siung bawang merah--siuang bawang putih--buah tomat uk besar--Daun salam--
Tongseng Kambing ala Mey,"daging kambing, iris tipis--Bumbu uleg :--baput--kemiri--ketumbar--cabe kriting merah--secukupnya Garam, gula & kecap manis--lbr kol, iris--btg daun bawang, iris--minyak sayur--gls air--"
Kambing goreng simple with kecap cabe,Secukupnya daging kambing potong dadu kayak sate (saya -+200gr)--bawang putih bubuk(bisa bawang putih biasa di geprek)--garam(suami suka asin)garam disesuaikan rada asin gpp ya--Secukupnya merica halus--Bumbu kecap:--Kecap--Cabe rawit--Bawang goreng--
Nasi goreng kari kambing,daging kambing potong kecil-kecil--porsi nasi--siung bawang merah--siung bawang putih--sesuai selera Cabe rawit--btg wortel kecil potong dadu--batang daun bawang--bubuk kari--merica bubuk--pucuk pala bubuk--secukupnya Kecap manis--secukupnya Garam--Minyak goreng--
Sop kambing,daging kambing--wortel uk sedang (potong)--btg daun bawang (potong)--btg daun seledri (biarkan utuh)--buah tomat (potong2)--siung bawang putih (iris tipis)--siung bawang merah (iris tipis)--buah biji pala (geprek)--kayu manis (geprek)--buah kapulaga putih--lada bubuk--Kaldu sapi bubuk (royco)--secukupnya Garam--Pelengkap :--Bawang goreng--Jeruk nipis--Sambal--
Sup Kambing Akar Teratai,"batang akar teratai, iris--🐑 Rebus sampai empuk, buang airnya :--daging kambing, potong (sy bagian paha)--1.L air--garam--telapak jahe, iris tipis--🍲 Kuah Sup :--1.L Air--cengkeh--siung garlic, geprek--bunga lawang--cardamom/kapulaga hijau--jempol jahe, iris--batang kayu manis--pala, geprek--jinten--1.5-garam--kaldu bubuk--merica bubuk--🍀 Pelengkap :--batang seledri, iris--lemon, iris (untuk kucuran, bikin kuah jadi seger)--"
Steak Daging Kambing Crispy ala-ala,"Daging Kambing (difillet)--merica bubuk--bubuk bawang putih (bisa pakai siung bawang putih, diulek)--tepung serbaguna--tepung tapioka--butir putih telur--Untuk Saus Lada Hitam :--margarine--buah bawang bombay (dicincang)--tepung terigu (cairkan dgn gelas agar tdk menggumpal)--air matang--lada hitam--bungkus Penyedap rasa--kecap manis--saus tiram--saus tomat--Gula pasir sckpnya--Bahan pelengkap:--Jagung rebus, buncis rebus, wortel rebus--Brokoli rebus, kentang goreng--"
Bacem Kambing Goreng,"L air (kurleb)--kambing, bagian iga atau paha sama enaknya--#blender :--bonggol garlic--bombay besar (ganti bawang merah gpp)--sachet/  ketumbar bubuk--daging asam (non biji)--#bumbu :--kecap asin--lembar daun salam--penuh gula pasir--bongkah gula jawa--penuh garam--merica bubuk--kaldu bubuk--"
Nasi goreng kari kambing,"porsi nasi putih, dinginkan--daging kambing, potong kecil-kecil--buah wortel ukuran kecil, potong dadu--siung bawang merah--siung bawang putih--sesuai selera Cabai rawit--bubuk kari--secukupnya Merica bubuk--secukupnya Pala bubuk--secukupnya Garam--Kecap manis--Bubuk penyedap--Minyak goreng--"
Sop kambing,daging kambing--bgks sop sop an--secukupnya Air--Bawang merah--bawang putih--bawang bombai--tomat ukuran besar--ruas jahe keprek--Secukupnya lada bubuk--ruas kayu manis--biji pala--cengkeh--secukupnya Garam--
Tongseng Kambing,"buah paha kambing (berat daging sekitar kg), potong-potong daging sebesar x cm--buah kubis, rajang kasar--buah tomat merah, potong dadu--batang daun bawang rajang halus--liter air untuk merebus daging--Bumbu dihaluskan:--siung bawang putih--siung bawang merah--buah cabai merah keriting--sendok teh merica butiran--butir kemiri disangrai--sendok teh ketumbar butiran, sangrai--sendok teh jinten--buah pala--kunyit segar--sendok makan minyak untuk menumis--Bumbu lainnya:--lembar daun jeruk purut, sobek kasar--lembar daun salam--batang serai, ambil bagian putihnya saja dan memarkan--lengkuas, belah dua memanjang dan memarkan--jahe, kupas dan memarkan--batang kayu manis, masing-masing sepanjang cm--buah kapulaga--buah kembang lawang/pekak--butir cengkeh--keping fuli (seludang biji buah pala) optional *)--sendok makan garam, tambahkan jika kurang asin--sendok makan gula jawa disisir halus--sendok makan kecap manis (optional)--santan kental instan--"
SOP Kambing Muda,g daging kambing muda--siung bawang putih--siung bawang merah--merica--biji pala--ibu jari jahe digeprek--ibu jari lengkuas digeprek--lembar daun salam--lembar daun jeruk--bubuk (jari kelingking) kayu manis--buah bintang (pekak)--butir cengkeh--butir kapulaga--butir kentang potong persegi--buah wortel ukuran sedang potong bulat--batang Daun bawang--batang Daun seledri--secukupnya Garam dan gula putih--
