Title,Ingredients
.Sate Kambing,Bahan-Daging kambing Daun pepaya siung bamer siung baput jahe ketumbar lada bubuk Garam air asam jawa Kecap manis sesuai selera (aku pake bango) Cabe rawit Bamer Tomat Jeruk limau 
Rabeg Kambing,daging kambing bagian paha beserta tulang Bumbu halus cabe siung bawang putih siung bawang mersh butir kemiri jahe ruas kunyit klabet jinten Bumbu lain batang sereh lembar daun salam kayu manis butir cengjeh kapulaga hijau kecap manis Garam Gula Pelengkap Acar Bawang goreng 
Gulai kambing,"gram daging kambing sesuai selera Santan btng serai,memarkan lembar Daun Salam,jeruk sesuai selera Cabe btr Cengkeh siung bawng merah siung bwng putih butir kemiri kunyit jahe lengkuas ketumbar Mrica,pala,garam,gula seckpnya "
Sayur tulang kambing,.tulang sumsum kambing (direbus dahulu)agar bau amis hilang Kacang panjang Pepaya muda buah Cabe rawit buah Cabe merah besar buah Cabe hijau besar bawang putih bawang merah miri Garam bungkus masako sendok makan Gula putih Minyak goreng Irisan potongan bawang merah siung Irisan potongan bawang putih siung Santan kelapa 
Sate Kambing,garam daging kambing buah jeruk nipis secukupnya kecap manis gram kacang tanah goreng siung bawang merah siung bawang putih buah cabe merah besar buah cabe rawit merah (sesuai selera) butir kemiri lembar daun jeruk air kecap manis gula merah iris secukupnya garam acar wortel timun bawang cabe rawit bawang goreng 
Sop Kaki Kambing,"kaki kambing -buah kentang, potpng dadu besar -batang daun bawang, iris cm -L air panas -minyak utk menumis buah bawang merah buah bawang putih garam lada bubuk pala bubuk buah cengkeh buah kapulaga india batang kayu manis buah star anise lembar salam koja (bay leaves) "
Kari kambing ala bundo,"Daging kambing ½, potong-potong, lumuri dengan sedikit bumbu halus dan biarkan menit siung bawang merah, iris halus buah tomat, potong tipis butir cengkeh buah peka buah kapulaga siung bawang putih, iris halus santan dari butir kelapa (,bungkus segitiga santan kemasan) susu cair air ruas jari kayu manis lembar daun jeruk purut buang tulangnya lembar daun kari Garam dan gula sedikit hanya untuk menambah rasa secukupnya Minyak goreng sendok teh jinten, sangrai sendok teh adas, sangrai siung bawang merah buah cabai merah buah cabai rawit merah siung bawang putih sendok makan ketumbar, sangrai,cm/ ruas jari jahe cm/ ruas jari kunyit (diameter kecil),cm/ ruas jari lengkuas "
Tongseng kambing presto,gram iga kambing / daging kambing gram kol siung bawang merah siung bawang putih ruas kunyit bakar buah kemiri sangrai ketumbar sangrai jinten buah cabe merah besar ruas jahe lembar daun jeruk batang sereh ruas lengkuas batang daun bawang buah tomat buah cabe rawit merah santan kara secukupnya gula garam 
Telor dadar otak kambing,Otak kambing butir telor ayam Penyedap masako siung Bawang merah siung Bawang putih Daun bawang secukupnnya Cabe rawit biji adanya Garam lembar Daun salam Jahe kunyit seujung jari kelingking dikit aja Minyak untuk numis 
Sate kambing siram sambal bawang kecap,"Bumbu daging daging kambing,ketumbar bungkus royko gula,bawang putih bubuk (siung bawang putih) minyak goreng secukupnya Garam secukupnya Kecap Untuk kuah siung bawang merah buah cabe rawit secukupnya Kecap "
Gule kambing pedas,iga kambing daging kambing dengan lemak Bumbu halus Jahe siung bawang putih siung Bawang merah garan kunyit (bakar) butir cengkeh (sangrai) buah pekak/kembang secang/star anis (sangrai) butir kapulaga sachet stevia (kalo suka) st lada bubuk kemiri (sangrai/goreng) cabe merah keriting cabe rawit setan (kalo suka) Bahan tambahan -lembar daun jeruk lembar daun kunyit (ikat) batang serai -daun salam air Asam kandis santan cair (sachet kara yg) santan kental (.sachet kara) Air secukupnya Minyak goreng 
Sate Kambing Maranggi,"daging kambing potong agak besar karena daging mudah empuk Secukupnya tusukan sate Secukupnya kecap manis nanas uk kecil atau nanas uk sedang bawang putih bawang merah ketumbar gula merah garam bawang merah, potongkecil cabe rawit, potong kecil tomat merah besar, potong kotak kecil jeruk sambal Secukupnya kecap manis "
