Title,Ingredients
Beef Teriyaki,"daging sapi siung bawang bombai siung bawang putih sachet saus teriyaki (sy pk yg saor*, bsa diganti saus tiram) kecap manis secukupnya garam secukupnya lada secukupnya gula secukupnya penyedap rasa "
Rendang Sapi,daging sapi butir kelapa untuk L santan kental gram Cabe merah Jahe ketumbar sangrai butir kapulaga butir cengkeh butir bunga lawang buah biji pala butir bawang merah butir bawang putih buah cabe rawit (jika suka pedas) lengkuas dipipihkan buah serai dipipihkan lembar daun jeruk lembar daun salam lembar daun kunyit garam (tambahkan jika kurang asin) kaldu bubuk (optional) 
Tongseng daging sapi pedas,"daging sapi (iris tipis panjang) siung bawang merah siung bawang putih jahe,kunyit kemiri cabe merah keriting batang sereh daun salam daun jeruk cabe rawit merah utuh Toping tomat besar (iris sedang) Kol secukupnya menurut selera (iris sedang) "
Semur Daging Sapi,"daging sapi biji bawang bombay siung bawang putih siung bawang merah bungkus ladaku bungkus royco sapi lembar daun jeruk bunga lawang biji jeruk nipis Secukupnya kecap manis, gula pasir "
Tongseng daging sapi,gram Daging sapi Santan (boleh pakai kara bungkus/ kelapa parut buah) Bawang merah siung (siung untuk bawang goreng) -siung Bawang putih Kubis buah Tomat pcs Daun bawang Kunyit Jahe Lengkuas lembar Daun salam lembar Daun jeruk pcs Kemiri Ketumbar Kecap pcs Cabai merah pcs Cabai rawit secukupnya Garam secukupnya Penyedap rasa bungkus Merica bubuk ladaku 
Beef black pepper spaghetti,"gram spaghetti la fonte, rebus sampai al dente ons daging sapi, iris lawan arah secukupnya Saus tiram secukupnya Kecap asin secukupnya Soda kue Bumbu black pepper instant (merk my taste) siung baput besar cicang kasar babom potong kotak helai Daun bawang potong cm secukupnya Kecap asin "

Carbonara Linguine smooked beef,"Pasta linguine (bisa pasta lain) sesuai selera /- strip smooked beef potong kecil-kecil Keju parmesan atau sering saya ganti cheddar bagian awang bombay kecil siung kecil awang putih (selera) Susu full cream / cooking cream butir telur Lada, garam Daun basil margarin "
Semur Jantung Sapi,jantung sapi bumbu halus siung bawang putih siung bawang merah ketumbar lada putih butir cengkeh / cengkeh secukupnya Garam secukupnya Pala jinten jahe bubuk atau jahe biasa buah kemiri bumbu tambahan kecap inggris atau sesuai selera saori teriyaki secukupnya Royco buah gula merah Kecap secukupnya atau sesuai selera secukupnya Vetsin secukupnya Gula putih Air putih atau di sesuaikan dengan banyaknya jantung yang akan di masak Bawang bombay buah (ukuran di kira-kira saja) Delmonte barbeque sauce atau sdm (Opsional) buah cabe hijau kecil 
Daging sapi cincang taousi cah buncis,ons daging sapi (cincang) buncir atau kira bumbu bawang putih taousi hitam lada bubuk garam gula pasir royco kaldu sapi atau ayam minyak wijen kecap asin 
