Title,Ingredients
Martabak tahu pedas kulit lumpia,lembar kulit lumpia--buah tahu putih--batang daun bawang (iris halus)--batang daun seledri (iris halus)--btr telur (sy pakai aja krn agak besar)--terigu + air (sbgai lem kulit lumpia)--Sckpnya minyak utk menggoreng--siung bawang putih--bks lada/merica bubuk--Sckpnya garam gula dan kaldu bubuk--3-cabe merah kriting iris serong--buah wortel agak kecil parut kasar--
Batagor (Bakso Tahu Goreng) ala rumahan anti gagal,Bahan batagor--kotak ukuran kecil tahu kuning--tepung terigu--mentega (supaya kriuk2)--buah bawang putih--Garam (secukupnya)--Merica (secukupnya)--Air putih matang (secukupnya)--Bahan saus--saus cabe (saya pake indofo**)--siung bawang putih--cabe rawit (sesuai selera ya karna suami saya gak suka pedas)--Kecap (secukupnya)--Air matang (secukupnya)--
Sayur Sutace (sop tahu ceker),ceker ayam--buah wortel ukuran sedang--buah wortel--sesuai selera Kol--sesuai selera Daun bawang--sesuai selera Seledri--buah tahu kuning--Garam--Gula putih--Penyedap rasa (ma**ko)--Lada bubuk--Jeruk nipis--siung Bawang Putih--siung Bawang merah--
Sapo Tahu Ayam ala Mey👌,"bks Tofu--5-filet ayam--wortel, iris tipis menyerong--jagung muda, iris tipis menyerong--kuntum bunga kol, pisahkan jd kuntumkecil--lbr pakcoy, iris 4-bag/lbr--lbr daun kol, iris2--saos tiram--kecap asin--1-Royco ayam--1,gls air--Pengental : gls air + sagu--bamer--baput--lada halus--Minyak utk menumis--"
TTKK (tahu telur timun tauge kuah kacang),butir telur--tahu--secukupnya Timun--secukupnya Tauge--Kuah kacang :--Kacang tanah disangrai--Bawang merah--Bawang putih--Cabe kering--Cabe rawit--Gula merah--
Perkedel Tahu Wortel Sederhana,bks tahu putih--batang wortel (potong kecil-kecil)--bks Masako ayam--secukupnya Lada bubuk--btr telur ayam (kocok)--terigu--Minyak untuk menggoreng--
Kari tahu telur kentang,"butir telur rebus--buah tahu, potong bagian lalu goreng berkulit--buah kentang, potong bagian--bks santan kara ukuran kecil--air / kaldu--buah cengek utuh (tambahan dari saya)--Haluskan :--buah cabe merah buang biji--siung bawang merah--siung bawang putih--bumbu kari instant--butir kemiri--ketumbar--merica bubuk--pala bubuk--ruas jari kunyit--Rempah cemplung--batang sereh, geprek--lengkuas--jahe--lembar daun jeruk--lembar daun salam--Secukupnya asam jawa--Garam / kaldu bubuk--Gula pasir--"
Sundubu Jjigae (sup tahu pedas alakorea),"bungkus tahu putih, potongbesar--ons toge--ons kol--1-ons sawi putih--tangkai daun bawang, iris serong agak tebal--bulat bawang bombay, iris memanjang--2-botol air--2-perasan jeruk nipis/limau/lemon--telur, kocok lepas--cabe merah besar--cengek merah (ini pedesnya sedang)--bawang merah--bawang putih--tomat sedang--"
Nugget Tahu Ekonomis Anti Gagal,"buah tahu(1kg an) sy: sekitar 700g--butir telur--siung bawang putih, haluskan--bks ladaku--Secukupnya garam(sy: garam di skip)--bks royco sapi(sy: bks)--buah wortel,kupas kulitnya, lalu parut--btg daun bawang, iris halus--Bahan pelapis:--Secukupnya telur, kocok lepas--Secukupnya tepung roti/panir/bread crumb--"
Tahu Petis musim ujan,"petis--cabe rawit,rajang--bwg pth,rajang halus--bwg mrh,rajang halus--Secukupnya garam--maizena,larutkan dg air--"
Sayur tahu jengkol,buah tahu kuning--jengkol--bungkus Santan kara--Garam--Kaldu bubuk--Gula putih--Daun salam--siung bawang merah--siung bawang putih--buah cabe merah besar--butir kemiri--
Sapo Tahu No Seafood,"pcs Egg Tofu (potongketebalan sesuai selera)--bonggol Brokoli (sy uk.kecil2, siangi, potong perkuntum)--bonggol Bunga Kol (sy uk.sedang, potong perkuntum)--bonggol Sawi putih (sy uk.kecil, potong2)--1-btg Wortel (iris bulat/serong terserah)--Secukupnya Jamur Kancing (bisa pake jamur kuping, irissesuai selera)--helai Daun bawang iris2--btr Bakso ayam iris(bisa pake bakso lain/seafood/daging ayam cincang)--siung Bawang Bombay uk.sedang (potong wedges)--siung Bawang putih geprek, cincang--° Bumbu :--penuh Saus Tiram (sy Saori)--Garam (menyesuaikan selera)--Gula pasir (menyesuaikan selera)--Royco ayam (boleh gapake)--Lada bubuk--Kecap manis Bango (kalo sy wajib/rutinitas hihihi)--Secukupnya Air Kaldu (sy pake kuah bakso hihi)--"
Tahu Bulat,Tahu putih--Minyak untuk menggoreng--Bawang putih--Merica--Garam--sesuai selera Kaldu bubuk--
Tahu kuning lada garam,"bj tahu kuning (sy pakai merk yongfu)--bj cabe merah besar--bj cabe rawit (krg tahan pedas)--siung bawang putih, rajang--siung bawang merah, potong tipis2--Secukupnya garam, lada, kaldu jamur--"
Pepes Tahu kekinian,tahu cina di hancurkan halus dengan garpu boleh menggunakan tahu putih apa saja tdk mesti tahu cina--batang bawang daun diiris ruas jari--butir telor--Daun salam dimasukkan ke dalam tiap adonan pepes ketika membungkus--gula pasir--1.garam--penyedap rasa jika suka--Bumbu halus diblender:--biji cabe rawit jawa--terasi ABC--siung bawang merah--siung bawang putih--batang serai diiris tipis--minyak untuk menumis--
Mung tahu',"papan tahu sutera--daging ayam--Daun bawang--B.putih--tepung maizena larutkan d air--secukupnya Micin jamur, garam, gula, lada--"
Sapo Tahu Brokoli,bungkus tahu telur--bonggol brokoli--buah wortel (iris tipis)--kol (lebih enak pakai sawi putih)--buah cabai merah besar--buah bakso sapi--buah bakso ikan (optional)--siung bawang putih--bawang bombay--ruas jahe (geprek)--sachet saus tiram (Saori)--kecap asin--gula pasir--garam--lada bubuk--tepung maizena--gelas air putih--Minyak sayur--
Tahu isi Enak,tahu dibelah dua--bengkuang--wortel--bombay iris halus--siung bawang putih--udang cincang--tepung bumbu sajiku--secukupnya Garam Gula merica--Sambal cocolan:--siung bawang putih--cabe rawit merah--saos cabe abc--perasan air jeruk nipis/lemon--gula--Sedikit air--
Balado Tongkol & Tahu,buah ikan tongkol sedang (iris menjadi Bagian)--buah tahu ukuran lecil--lembar daun jeruk--secukupnya Gula & garam--buah bawang merah--buah bawang putih--Cabe Merah--cabe rawit--buah tomat--buah Gula merah ukuran sedang--
Tahu cabe garam,potong tahu (iris kotak kecil)--butir telur--Secukupnya tepung bumbu serbaguna--siung bawang merah--siung bawang putih--biji cabe rawit (sesuai selera)--batang daun bawang (sy pke daun seledri krn itu yg ada 😅)--
Gurame tahu tauco,ekor gurame--buah tahu kotak--buah jeruk nipis--buah bawang bombay--siung bawang putih--jari jahe--buah cabe hijau besar buang biji--buah cabe merah besar--tauco--Kecap asin--Kecap manis--Saos tiram--Minyak wijen--Angciu--
Tahu Cabe Garam,buah tahu putih (potong persegi kecil)--bks kecil tepung bumbu pedas serbaguna (mamaSuka)--cup Air ES--terigu--secukupnya Minyak goreng--siung bawang putih (cincang)--buah bawang merah (cincang)--irisan daun bawang--garam--kaldu bubuk--margarine untuk tumis--buah cabai rawit merah (iris tipis)--buah cabai rawit hijau (iris tipis)--
Tumis Broccoli Tahu Jepang dengan Saus Tiram,"bonggol Brokoli ukuran besar (potong dan cuci)--pcs Tahu Jepang (potong ketebalan 1.cm)--pcs Jamur King Oyster (iris tebal)--pcs Bakso Seafood (optional)--siung Bawang Putih (cincang)--ruas Jahe (kupas dan iris halus)--Garam, lada, gula / vetsin untuk memperkuat rasa--Oyster Sauce / Saus Tiram--Kecap Hitam--Tepung Maizena / Potato Starch (untuk pengental)--"
Tahu Cabe Garam,buah tahu putih (potong kotak atau sesuai selera)--Tepung bumbu--Bahan iris :--siung bawang putih--siung bawang merah--buah cabe rawit merah/cabe merah--batang daun bawang--
Cah sawi hijau tahu putih,"ikat sawi hijau, aku beli rb--buah tahu putih potong kotak goreng mateng--buah bawang merah iris--siung bawang putih cincang--buah cabe m dan rawit m iris tipis--Minyak g secukupnya untuk menumis--gula pasir--Royco ayam--Saos tiram dan kecap asin--"
Bakso tahu goreng saus pedas,Bahan bakso tahu--buah tahu putih--siung bawang putih--butir telur--merica bubuk--secukupnya Royco ayam--secukupnya Garam--secukupnya Gula--tepung terigu--baking powder--Bahan saos pedas--siung baput--siung bamer--bawang bombay--buah cabe merah keriting--bua cabe rawit--saos tomat--saos sambal--buah cabe merah iris rencong--buah bawang prei--Garam--Kecap--secukupnya Gula--Minyak goreng--secukupnya Air--
Telur Tahu Kukus Goreng,butir telur--buah tahu putih--tangkai daun bawang--buah wortel (aku lagi gak ada)--siung bawang putih--sedikit lada--secukupnya garam--secukupnya penyedap rasa--
Tumis Tahu Bubuk,Tahu Kuning--Siung Bawang Merah--Siung Bawang Putih--Buah Tomat--Cabai Rawit--Bawang Daun--Secukupnya Garam--Secukupnya Gula--Secukupnya Lada Putih--
Tahu Crispy,"bumbu halus--siung bawang putih--kunyit--ketumbar--bahan tepung--tepung terigu--maizena--secukupnya garam, lada, kaldu jamur--secukupnya air--btr telur ayam--tahu potongdadu--"
