Title,Ingredients
Orak arik telur buncis, buah telur buncis bawang merah bawang putih cabe rawit kecap manis Penyedap (garam gula atau penyedap lainnya) 
Terik ayam tempe telor, sayap ayam buah telor papan tempe siung bawang merah siung bawang putih butir kemiri ketumbar secukupnya Garam lengkuas lembar daun salam batang sereh secukupnya Gula jawa Bawang goreng Minyak untuk menumis bungkus santan kara secukupnya Air buah cabe rawit 
Telur Kornet,kaleng kornet - buah bawang prei buah telur tepung terigu secukupnya Cabe rawit jumput Garam Merica Saus tiram 
Tahu telur surabaya, butir telur potong tahu putih goreng setengah matang siung bawang putih goreng petis udang kacang tanah goreng secukupnya Gula merah secukupnya Air Kucai secukupnya / seledri secukupnya Bawang goreng secukupnya Garam Kecap manis buah cabai rawit goreng Tauge Acar 
Telur ceplok masak kecap, butir telur siung bwng merah siung bwng putih buah tomat buah cabe merah besar secukupnya Kecap bango 
Sambal telur ayam,telur cabe merah besar cabe rawit Sejumput lada Garam Gula putih Kecap manis bawang putih bawang merah 
Telur Dadar Padang," btr telur ayam (lebih enak pakai telur bebek) kelapa parut,sangrai (asli : sdm) tepung beras,larutkan dengan sedikit air daun kunyit,buang tulangnya,iris halus (skip) btg daun bawang,iris halus Secukupnya garam dan kaldu bubuk (optional) cabe merah,giling/iris halus (aku tambah cabe rawit) btr bawang merah siung bawang putih ruas kunyit kari bubuk (aku pakai Baba's) ketumbar bubuk lada bubuk "
Ceplok Telor saus Asam Manis," btr telur ruas wortel iris korek api siung bwg putih geprek cacah halus siung bwg bombay iris tipis saus tomat saus sambel Sejumput garam, merica n kaldu bubuk Seujung gula air "
Potatoes cheese with egg," kentang kupas dan potong bulat"" goreng setengah matang sosis potong bulat susu segar keju cheedar parut keju mozarela parut butir telur kocok lada dan garamsecukupnya "
TTKK (tahu telur timun tauge kuah kacang), butir telur tahu secukupnya Timun secukupnya Tauge Kacang tanah disangrai Bawang merah Bawang putih Cabe kering Cabe rawit Gula merah 
Semur kering telur kentang,- butir telur buah kentang siung bawang merah siung bawang putih secukupnya Kemiri buah cabai merah (sesuai selera) secukupnya Air secukupnya Gula pasir secukupnya Lada bubuk Penyedap makanan secukupnya Kecap daun salam 
Kari tahu telur kentang," butir telur rebus buah tahu, potong bagian lalu goreng berkulit buah kentang, potong bagian bks santan kara ukuran kecil air / kaldu buah cengek utuh (tambahan dari saya) buah cabe merah buang biji siung bawang merah siung bawang putih bumbu kari instant butir kemiri ketumbar merica bubuk pala bubuk ruas jari kunyit Rempah cemplung batang sereh, geprek lengkuas jahe lembar daun jeruk lembar daun salam Secukupnya asam jawa Garam / kaldu bubuk Gula pasir "
Buncis Cah Telur, buncis iris tipis siung bawang putih cincang bawang Bombay iris halus cabe merah iris halus bakso iris tipis / bs ganti dgn sosis secukupnya Kaldu Ayam secukupnya Air panas - btr telur 
Telur cah tomat, butir telur buah tomat (potong) siung bawang merah (iris) siung bawang bombay (iris) buah cabe rawit merah/sesuai selera (iris) Secukupnya daun bawang Garam Merica Gula 
Cah sawi putih campur telur," buah sawi putih potong sesuai selera butir telur kocok lepas siung bawang putih geprek buah cabe merah iris secukupnya Air secukupnya Garam, gula "
Telur Tahu Kukus Goreng, butir telur buah tahu putih tangkai daun bawang buah wortel (aku lagi gak ada) siung bawang putih sedikit lada secukupnya garam secukupnya penyedap rasa 
Telor Sambal Ebi, Butir Telor Ayam Bawang Merah Bawang Putih Cabai Rawit Serai Geprek Merica Bubuk Garam Gula 
Telur Dadar Daging," daging giling wortel, parut siung bawang putih, cincang bawang bombay, cincang btr telur btng seledri, iris halus Garam, gula, merica, penyedap sckpnya "
Telur gulung (jajanan SD),telur ayam sedikit air garam lada masako (skip) tusukan kayu 
Pangsit Goreng Isi Bihun Telur, bidang bihun secukupnya Kubis tangkai seledri buah wortel butir telur butir bawang merah butir bawang putih secukupnya Saos tiram secukupnya Kecap secukupnya Garam Kulit pangsit 
Telur Dadar Kilat," butir telur siung bawang merah, iris tipis cabe rawit, iris tipis batang daun bawang, iris-iris secukupnya garam mentega/ minyak "
Semur kentang telur, buah telur ayam rebus buah kentang potong sesuai selera secukupnya Kecap manis lembar daun salam siung bawang putih siung bawang merah secukupnya Lada buah kemiri 
Timun kuah telur (diet debm)," timun (Potong tipis/selera) bawang putih (geprek) Merica bubuk Garam, penyedap Saos tiram telur "
Telor Balado Pete," telur ayam (rebus, kupas kulit) papan pete sereh (geprak) daun jeruk Secukupnya garam gula kaldu jamur Secukupnya air cabe merah keriting/besar bawang merah bawang putih "
Pecel telur," butir telur ayam (rebus dan kupas cangkangnya) buah cabai rawit merah buah tomat uk. sedang siung bawang putih kacang goreng Secukupnya terasi, garam, gula dan penyedap tangkai kemangi "
Telur bumbu merah, butir telur siung bawang merah siung bawang putih buah cabai merah (boleh ditambah bila suka pedas) buah tomat merah secukupnya Garam dan gula pasir lembar Daun salam lengkuas digeprek Penyedap bila suka (saya diskip) Minyak goreng untuk menumis air putih (satu set gelas belimbing) 
Telor dadar endol, buah telur ayam Daging ayam cincang Stgh terigu Daun bawang 
Dadar telor ikan tongkol, ikan tongkol butir telor ikat daun bawang garam 
Telur bulet sambel terong," butir telur ayam, Rebus kupas kulitnya buah terong ungu ukuran besar Bumbu halus ons cabe hijau buah tomat merah siung bawang merah siung bawang putih terasi yg sudah dibakar secukupnya Garam Minyak untuk menggoreng "
Tumis labu siam dan telur, butir telur Secukupnya labu siam (iris memanjang) siung bawang putih Garam Gula Penyedap 
Otak Sapi Goreng Telur," gram otak sapi mentah lembar daun salam ruas jahe, geprek buah telur ayam Sesuai selera garam, lada bubuk, kaldu bubuk "
Telor Balado, telur ayam cabe merah bawang merah minyak wijen terong balado kecap Garam Royco Gula 
Telur dadar sawi tauge, butir telur siung bawang merah iris semangkuk taoge bonggol sawi lembar daun bawang iris biji cabe rawit iris kecap manis secukupmya garam lada bubuk Kaldu bubuk/opsional 
Bali kecap telur ayam,ayam telur tempe merah bawang merah putih jahe laos daun jeruk gula merah kemiri kecap manis garam 
Telur Dadar Goreng Tepung," butir telur (untuk di Dadar) butir telur, kocok lepas (untuk pencelup) secukupnya Garam secukupnya Penyedap rasa btg Daun Bawang, iris (saya skip karena kehabisan) Bahan kering (campurkan): tepung terigu tepung beras secukupnya Merica bubuk secukupnya Penyedap rasa (Masako/royko) "
Semur telur ayam,"telur ayam, rebus kupas daun salam batang sereh biji kapulaga biji bunga lawang butir cengkeh kayu manis pala jahe geprek lengkuas geprek gula pasir garam Kecap manis bango sampai atau sesuai selera btr bw merah (iris goreng matang sebelum dihaluskan) butir bw putih mrica butiran butir kemiri sangrai buah tomat merah "
Telur gulung korea/roll egg korean, butir telur Wortel potong halus secukupnya secukupnya Daun bawang secukupnya Garam secukupnya Merica 
Telur merah dadar pas pedasnya dan simpel,"Telur bebek,cabe rawit merah Garam,royko ayam Minyak "
Orak arik telur daging sapi,Daging sapi Bawang putih bungkul cincang halus Telur biji kocok beri sedikit garam Minyak wijen Penyedap rasa 
Telur rebus cuma menit (bener hemat gas dan waktu), btr telur secukupnya Air Panci teplon beserta tutupnya 
Balado telur,telur buah bamer buat baput buah cabe keriting buah tomat secukupnya Gula merah Garam dan penyedap 
Tahu Goreng Telur Simple,"Tahu putih (potong sesuai selera, jgn terlalu tipis) butir telur Garam dan ladaku Olive oil / Canola oil "
Semur Telor Simpel, butir telur ayam Cabai merah (iris serong) gula merah secukupnya Air secukupnya Garam secukupnya Kecap manis siung bawang merah siung bawang putih butir kemiri merica 
Cah Buncis Telur,Buncis secukupnya (iris serong) butir telur (kocok lepas) Bumbu (iris)Cabe merah Cabe hijau besar siung bawang putih butir bawang merah Bawang bombay secukupnya Garam secukupnya Gula pasir secukupnya Bubuk kaldu 
Orek buncis telor, batang buncis butir telor (kocok lepas) buah baso Bahan- siung bawang merah siung bawang putih cabe rawit 
Telor dadar terigu," butir telur (aku pakek telur ayam) munjung terigu aja sagu margarin siung bawang merah siung bawang putih buah cabe rawit/cabe merah (opsional) Secukupnya bawang bombay merica (boleh bubuk boleh butir) penuh penyedap rasa/garam (aku duanya, garam nya dikit aj) Sedikit minyak wijen Secukupnya air hangat "
Egg roll lembut harum," paha ayam giling butir telur siung bawang putih peres bumbu ngohiong / five spice terigu, sagu, maizena dark soy sauce/ soyu saos tiram merica butir telur, air, terigu, sagu Kocok rata ayak spy tdk bergerindil "
Tahu telor malang sederhana, buah telor ayam potong tahu putih genggam daun bawang muda genggam tauge bumbu kacang genggam kacang tanah yg sdh digoreng siung bawang putih goreng buah cabe rawit terasi secukupnya kecap 
Kari tahu dan telur,Tahu /buah (potong mnjd segitiga)/sesuai selera buah Telur buah Kara secukupnya Bumbu kari indofood lembar daun salam Sereh jempol Laja (laos) lembar daun jeruk gula garam kemiri bawang putih kunyit bawang merah cabe merah besar (sesuai selera) Cabe rawit (sesuai selera) 
