Title,Ingredients
Orek tempe manis pedas super simple,Tempe (saya beli saja)--buah cabe gendot--buah cabe keriting--buah cabe rawit merah--siung bawang merah--siung bawang putih--Kecap--Saus tiram--Saus tomat--Kaldu bubuk--Garam--Gula--
Terik ayam tempe telor,sayap ayam--buah telor--papan tempe--siung bawang merah--siung bawang putih--butir kemiri--ketumbar--secukupnya Garam--Bumbu lain:--lengkuas--lembar daun salam--batang sereh--secukupnya Gula jawa--Bawang goreng--Minyak untuk menumis--bungkus santan kara--secukupnya Air--buah cabe rawit--
Penyet Tempe Sambel Korek Kemangi,buah tempe--genggam Daun kemangi--cabe rawit--siung bawang putih--Gula--Garam--
Nugget tempe,"papan tempe dihaluskan(saya kukus dlu)--buah wortel (parut kasar)--batang daun bawang (di iris kasar)--butir telur--butir bawang merah (di iris lalu di goreng)--butir bawang putih (di haluskan)--tepung terigu--Secukupnya garam,lada & penyedap rasa--secukupnya Tepung panir--secukupnya Minyak goreng--"
Tempe tepung sajiku,potong tempe --bngkus sajiku tepung serbaguna--secukupnya Air--Minyak untuk manggoreng--
Patty Tempe,"gram tempe, kukus, haluskan--gram daging sapi/ ayam (sy: daging sapi)--tepung panir (sy: tepung kobe putih)--butir telur--buah bawang bombay ukuran sedang, potong kotak kecil--siung bawang putih, memarkan lalu cincang--merica bubuk--garam--"
Orek tempe basah bumbu ulek (recook),"papan tempe, potong sesuai selera (sy papan tempe+tahu)--cabe ijo, iris (sy lombok merah utuh)--Secukupnya kecap manis--Secukupnya gula, garam, penyedap (sy garam aja)--Secukupnya air--butir bawang merah--siung bawang putih--buah tomat--cabe merah keriting/cabe rawit (sy skip)--butir kemiri--ketumbar--"
Perkedel Tempe,"potong papan tempe (haluskan dgn sedikit air)--bumbu halus: ulek kasar--siung bawang merah--siung bawang putih--cabai rawit--ketumbar bubuk--secukupnya garam, ebi--bungkus tepung racik bakwan--"
Perkedel Tempe,"g tempe--butir telur, kocok lepas--btg daun bawang, iris--seledri, iris halus--Secukupnya gula, garam, lada bubuk--Bumbu yg digoreng/ditumis & dihaluskan:--siung bawang putih--buah bawang merah--"
Nugget Tempe Simple,"papan tempe--buah wortel--butir telur (kocok lepas)--siung bawang merah--siung bawang putih--batang daun bawang--garam--Secukupnya: tepung terigu, merica, tepung roti & kaldu bubuk--"
Sarden ikan pindang tempe pedas adam manis,ikan pindang ukuran sedang/besar--papan tempe kecil iris serong--buah cabe keriting--cabe rawit--siung bawang putih iris--siung bawang merah iris--sachet saos pedas (saya merk ABC)--saos tomat--garam (sesuai selera)--gula--tangkai daun bawang--ruas jahe--ruas lengkuas--lembar daun salam--buah tomat--
Tempe Isi Kekinian,papan tempe bulat--tepung terigu--Garam--Gula--Merica--Ketumbar bubuk--Daun bawang--⤵ Isian tempe--buah cabe merah--buah cabe hijau--buah bawang merah--buah bawang putih--
Sayur Lodeh Tempe Semangit (Bumbu Ulek),"buah labu siam, potong tipis--buah terong ungu, potong kecil--ikat kacang panjang, potong-potong--papan tempe semangit, potong kasar--bungkus santan kara cair--lembar daun salam--ruas lengkuas, geprek--.ebi, seduh, tiriskan--buah gula jawa, sisir halus--Sesuai selera garam dan gula--siung bawang merah--siung bawang putih--buah cabe merah--"
Tempe mendoan,ptg tempe mendoan--Tepung terigu -+--Bawang putih--sndk teh Merica stg--sndk teh Ketumbar stng--Garam sckupnya--batang Daun bawang--Air kira--
Bacem tempe mentega,buah tempe ukuran sedang--Bumbu bumbu:--butir bawang merah--siung bawang putih--Sedikit ketumbar--Biji gula jawa--sm mentega--sm kecap manis sedang--sesuai selera Penyedap rasa--secukupnya Garam--lbr daun salam--laos--
Sayur tempe mix tahu alaala kari,tempe dari papan--buah tahu--keris pete--buah wortel ukuran sedang--Santan--Bumbu:--bawang merah--bawang putih--kunyit--jahe--butir kemiri--ketumbar--garam--secukupnya Gula--Penyedap rasa saya pakai royco ayam--Bumbu pelengkap:--laja--lbr daun salam--lbr daun jeruk--Minyak untuk menumis bumbu--
Tempe goreng segitiga,Tempe secukupnya lalu potong bentuk segitiga--tepung ayam (merk apa saja)--baking powder--Bumbu halus--siung bawang merah--siung bawang putih--Sedikit kemiri--iris Daun bawang--Sedikit kunyit bubuk--Secukupnya garam dan penyedap rasa--
Tempe Goreng Tepung,Tempe--Terigu--Ketumbar Bubuk--Garam--Masako Ayam--lembar Daun Bawang--
