Title,Ingredients
Lumpia udang kulit tahu,"gram ayam potong kotak kecil gram udang besar potong kecil lembar daun bawang iris halus sendok teh garam halus/sesuai selera sendok teh gula sendok teh merica bubuk sendok teh kecap ikan sendok teh saus raja rasa sendok teh saus tiram sendok teh minyak wijen sendok makan tepung sagu sendok teh tepung terigu butir telur ambil bagian putihnya saja, kocok lepas lembar kembang tahu kering / kulit tahu direndam sebentar "
Bakso Ayam Udang Keto,"ayam giling udang kupas telur ayam utuh kocok minyak goreng baking powder secukupnya garam, lada bawang goreng haluskan secukupnya Bawang merah putih minyak wijen Karageenan secukupnya (pengenyal) Es batu keping kotak "
Udang,udang basah ukuran sedang bungkus kobe tepung ayam crispy secukupnya Air matang Minyak untuk menggoreng 
Bakwan Udang,Tepung terigu (sudah di ayak) Udang segar btr Telur siung bawang putih garam picin bks penyedap rasa Merica bubuk Ltr Air putih es Minyak Makan Daun Bawang (cincang) Wortel (potong potong kecil) 
Udang Goreng Tepung Mayonaise,udang (buang kepalanya) Jeruk nipis Tepung bumbu Kobe Sedikit garam Mayonaise sachet (saya pakai mayumi) saus sambal/tomat susu kental manis 
udang asam manis,Udang mutiara siung bawang merah siung bawang putih buah cabai merah ruas jahe ruas lengkuas saus cabai saus tomat saus tiram minyak sayur lada bubuk Garam (secukupnya) 
Tekwan Kuah Udang,ekor ikan tenggiri butir putih telur kaldu bubuk garam gula (aku pakai brown sugar) lada air dingin minyak sayur tepung kanji Air untuk merebus minyak sayur untuk rebusan Udang butir bawang putih buah Jamur kuping Bihun \ soun Daun bawang Sambal cair 
Sambal udang goreng,udang buah jeruk nipis Minyak goreng Garam Gula pasir Penyedap rasa Daun jeruk siung bawang merah siung bawang putih buah tomat cabe merah (sesuai selera) cabe rawit (sesuai selera) 
Udang asam manis oregano,udang vaname bawang bombai siung bawang putih oregano kering saus tomat saus sambal gula sedikit garam sedikit air minyak untuk menumis 
Tumis buncis pakai udang,Buncis (iris serong) bawang putih (geprek cincang) Cabai merah keriting (sesuai selera) udang (kupas) Kaldu jamur /royco Sejumput gula pasir secukupnya Garam kecap ikan secukupnya Lada 
Udang saus padang,udang secukupnya Jahe memarkan secukupnya Lengkuas memarkan saus sambal saus tiram buah tomat secukupnya Air secukupnya Minyak Garam Gula Bumbu halus siung bawang putih siung bawang merah buah cabai merah besar buah cabai secukupnya Merica 
Udang Goreng Mentega,udang buah bawang bombai buah bawang putih buah bawang merah mentega saus tiram saus pedas saus tomat jumput garam 
Udang goreng mentega,udang buah cabe hijau siung bawang merah secukupnya Mentega secukupnya Garam secukupnya Penyedap rasa secukupnya Gula Perasan jeruk nipis 
Udang pete balado,"udang ukuran sedang, kupas, buang kepala dan kulitnya papan petai, buka, bersihkan dr kulitnya, potong mjd siung bawang merah siung bawang putih butir kemiri buah cabe merah keriting Garam secukupnyag secukupnya Gula pasir ruas jari lengkuas, bersihkam, geprek lembar daun salam Minyak goreng buah jeruk nipis, belah, peras ambil airnya "
Bakso udang,gram udang tepung keto butir putih telur minyak wijen (opsional) biji bawang putih Secukupnya garam cube es batu Secukupnya air es 
Oseng Udang Pedas️,Udang Ukuran Sedang Butir Bawang Merah (Rajang) Butir Bawang Putih (Rajang) Buah Tomat Segar Ukuran Sedang (Iris) Buah Cabe Rawit Iris (Sesuai Selera) Secukupnya Lada bubuk Secukupnya royco bubuk Secukupnya Gula garam 
Udang Goreng Tepung,udang kupas tepung terigu tepung kanji merica bubuk butir telur merica siung bawang putih saus tiram secukupnya Garam 
